"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/21/2020","AQS","410170004","3","3.9","ug/m3 LC","22","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/22/2020","AQS","410170004","3","2.9","ug/m3 LC","16","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/23/2020","AQS","410170004","3","2","ug/m3 LC","11","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/24/2020","AQS","410170004","3","2.1","ug/m3 LC","12","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/25/2020","AQS","410170004","3","1.9","ug/m3 LC","11","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/26/2020","AQS","410170004","3","3.3","ug/m3 LC","18","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/27/2020","AQS","410170004","3","3.1","ug/m3 LC","17","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/28/2020","AQS","410170004","3","3.2","ug/m3 LC","18","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/29/2020","AQS","410170004","3","2.3","ug/m3 LC","13","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/30/2020","AQS","410170004","3","1.6","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/31/2020","AQS","410170004","3","1.8","ug/m3 LC","10","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
